Lat,Long,Site,Sample_ID,Living,Dead,Total,Depth,Stem_Height,Haplotype,scale_counts,scale_per_cm
29.14374,89.15057,1,EU1-1,5,1,6,17,183,M,301,1.644808743169399
29.14374,89.15057,1,EU1-2,2,0,2,16,155,M,331.5,2.138709677419355
29.14374,89.15057,1,EU1-3,16,1,17,13,202,M,265,1.311881188118812
29.14374,89.15057,1,EU1-4,7,0,7,12,190.5,M,500.5,2.627296587926509
29.14374,89.15057,1,EU1-5,18,1,19,8,172.5,M,396.2,2.2968115942028984
29.14374,89.15057,1,EU1-6,6,0,6,11,146,M,426.70000000000005,2.922602739726028
29.14374,89.15057,1,EU1-7,18,3,21,15,130,M,195,1.5
29.14374,89.15057,1,EU1-8,11,2,13,13,190,M,253,1.331578947368421
29.14374,89.15057,1,EU1-9,9,1,10,10,145.5,M,522.1999999999999,3.5890034364261165
29.14374,89.15057,1,EU1-10,11,1,12,16,190.5,M,493,2.5879265091863517
29.14374,89.15057,1,EU1-11,9,1,10,14,184,M,407,2.2119565217391304
29.14374,89.15057,1,EU1-12,8,1,9,13,192,M,432.9,2.2546874999999997
29.14374,89.15057,1,EU1-13,14,2,16,5,240,M,331.5,1.38125
29.14374,89.15057,1,EU1-14,11,1,12,6,197.5,M,905.71,4.585873417721519
29.14374,89.15057,1,EU1-15,4,0,4,7,204.5,M,355.05,1.7361858190709047
29.14374,89.15057,1,EU1-16,9,0,9,3,158,M,110,0.6962025316455697
29.14374,89.15057,1,EU1-17,18,1,19,13,222.5,M,479.5,2.155056179775281
29.14374,89.15057,1,EU1-18,17,2,19,4,199,M,393.75,1.978643216080402
29.14374,89.15057,1,EU1-19,17,0,17,2,185,M,312,1.6864864864864866
29.14374,89.15057,1,EU1-20,8,4,12,8,186.5,M,156,0.8364611260053619
29.14363,89.15031,1,D1-1,15,9,24,44,437,M1,1361.43,3.115400457665904
29.14363,89.15031,1,D1-2,10,4,14,28,301,M1,1468,4.877076411960133
29.14363,89.15031,1,D1-3,11,2,13,25.5,344,M1,819.4000000000001,2.381976744186047
29.14363,89.15031,1,D1-4,4,0,4,29,222,M1,483.59999999999997,2.1783783783783783
29.14363,89.15031,1,D1-5,8,8,16,23,329,M1,1447.2,4.398784194528876
29.14363,89.15031,1,D1-6,9,10,19,23,391,M1,1028.5,2.630434782608696
29.14363,89.15031,1,D1-7,3,3,6,24,160,M1,112.5,0.703125
29.14363,89.15031,1,D1-8,2,1,3,35.5,223,M1,806.25,3.6154708520179373
29.14363,89.15031,1,D1-9,8,1,9,35,365,M1,1151.25,3.154109589041096
29.14363,89.15031,1,D1-10,9,1,10,35,258.5,M1,736,2.8471953578336557
29.14363,89.15031,1,D1-11,9,2,11,31,168.5,M1,503,2.9851632047477743
29.14363,89.15031,1,D1-12,6,3,9,40,201,M1,480,2.388059701492537
29.14363,89.15031,1,D1-13,13,7,20,31,304,M1,1498.5,4.9292763157894735
29.14363,89.15031,1,D1-14,5,0,5,24,255,M1,743.75,2.9166666666666665
29.14363,89.15031,1,D1-15,8,7,15,26,352.5,M1,2070,5.872340425531915
29.14363,89.15031,1,D1-16,11,3,14,36,290,M1,1980,6.827586206896552
29.14363,89.15031,1,D1-17,9,5,14,21,270,M1,862.5,3.1944444444444446
29.14363,89.15031,1,D1-18,9,5,14,26,266.5,M1,1291.5,4.846153846153846
29.14363,89.15031,1,D1-19,2,0,2,25,148,M1,160,1.0810810810810811
29.14363,89.15031,1,D1-20,11,5,16,24,294,M1,288,0.9795918367346939
29.13983,89.19179,2,EU2-1,8,NA,8,10,183,M,272,1.4863387978142077
29.13983,89.19179,2,EU2-2,4,2,6,0,176,M,304,1.7272727272727273
29.13983,89.19179,2,EU2-3,5,10,15,0,239,M,526,2.200836820083682
29.13983,89.19179,2,EU2-4,11,4,15,0,140,M,182,1.3
29.13983,89.19179,2,EU2-5,8,0,8,0,170,M,345,2.0294117647058822
29.13983,89.19179,2,EU2-6,13,2,15,0,182,M,312,1.7142857142857142
29.13983,89.19179,2,EU2-7,9,2,11,0,224,M,393.25,1.7555803571428572
