Lat,Long,Site,Sample,Sample_ID,Living,Dead,Total,Depth,Stem_Height,Node_scale_avg,Nodes,scale_inference,Flowering,Haplotype
29.14374,89.15057,1,1,EU1-1,5,1,6,17,183,21.5,14,301,Y,European (M)
29.14374,89.15057,1,2,EU1-2,2,0,2,16,155,25.5,13,331.5,Y,European (M)
29.14374,89.15057,1,3,EU1-3,16,1,17,13,202,26.5,10,265,Y,European (M)
29.14374,89.15057,1,4,EU1-4,7,0,7,12,190.5,38.5,13,500.5,Y,European (M)
29.14374,89.15057,1,5,EU1-5,18,1,19,8,172.5,28.3,14,396.2,Y,European (M)
29.14374,89.15057,1,6,EU1-6,6,0,6,11,146,42.67,10,426.7,Y,European (M)
29.14374,89.15057,1,7,EU1-7,18,3,21,15,130,19.5,10,195,Y,European (M)
29.14374,89.15057,1,8,EU1-8,11,2,13,13,190,23,11,253,Y,European (M)
29.14374,89.15057,1,9,EU1-9,9,1,10,10,145.5,37.3,14,522.2,Y,European (M)
29.14374,89.15057,1,10,EU1-10,11,1,12,16,190.5,29,17,493,Y,European (M)
29.14374,89.15057,1,11,EU1-11,9,1,10,14,184,37,11,407,Y,European (M)
29.14374,89.15057,1,12,EU1-12,8,1,9,13,192,33.3,13,432.9,Y,European (M)
29.14374,89.15057,1,13,EU1-13,14,2,16,5,240,25.5,13,331.5,Y,European (M)
29.14374,89.15057,1,14,EU1-14,11,1,12,6,197.5,69.67,13,905.71,Y,European (M)
29.14374,89.15057,1,15,EU1-15,4,0,4,7,204.5,23.67,15,355.05,Y,European (M)
29.14374,89.15057,1,16,EU1-16,9,0,9,3,158,11,10,110,Y,European (M)
29.14374,89.15057,1,17,EU1-17,18,1,19,13,222.5,34.25,14,479.5,Y,European (M)
29.14374,89.15057,1,18,EU1-18,17,2,19,4,199,26.25,15,393.75,Y,European (M)
29.14374,89.15057,1,19,EU1-19,17,0,17,2,185,24,13,312,Y,European (M)
29.14374,89.15057,1,20,EU1-20,8,4,12,8,186.5,13,12,156,Y,European (M)
29.14363,89.15031,1,1,D1-1,15,9,24,44,437,64.83,21,1361.43,N,Delta (M1)
29.14363,89.15031,1,2,D1-2,10,4,14,28,301,91.75,16,1468,N,Delta (M1)
29.14363,89.15031,1,3,D1-3,11,2,13,25.5,344,48.2,17,819.4,N,Delta (M1)
29.14363,89.15031,1,4,D1-4,4,0,4,29,222,40.3,12,483.6,N,Delta (M1)
29.14363,89.15031,1,5,D1-5,8,8,16,23,329,80.4,18,1447.2,N,Delta (M1)
29.14363,89.15031,1,6,D1-6,9,10,19,23,391,46.75,22,1028.5,N,Delta (M1)
29.14363,89.15031,1,7,D1-7,3,3,6,24,160,12.5,9,112.5,N,Delta (M1)
29.14363,89.15031,1,8,D1-8,2,1,3,35.5,223,53.75,15,806.25,N,Delta (M1)
29.14363,89.15031,1,9,D1-9,8,1,9,35,365,76.75,15,1151.25,N,Delta (M1)
29.14363,89.15031,1,10,D1-10,9,1,10,35,258.5,46,16,736,N,Delta (M1)
29.14363,89.15031,1,11,D1-11,9,2,11,31,168.5,50.3,10,503,N,Delta (M1)
29.14363,89.15031,1,12,D1-12,6,3,9,40,201,40,12,480,N,Delta (M1)
29.14363,89.15031,1,13,D1-13,13,7,20,31,304,83.25,18,1498.5,N,Delta (M1)
